codmes,SBS_bm_creditos_contingentes_MA12_L2_PL1,BCRP_de_expectativas_de_la_economia_a_3_meses_Comercio_MA3_L2,BCRP_de_expectativas_de_la_economia_a_3_meses_Comercio_MA12_L2,SBS_ibk_ratio_capital_global_MA3_L2,BCRP_de_expectativas_de_la_economia_a_12_meses_Servicios_MA3_L2
202201,366922080.0,40.98870086669922,44.14484786987305,16.22999954223633,47.38668823242188
202202,371374048.0,44.58255004882812,43.67182159423828,16.04333305358887,48.06494522094727
202203,375533504.0,47.15099716186523,44.4013671875,15.90999984741211,48.78773498535156
202204,378661728.0,47.68772125244141,44.56760025024414,15.64000034332275,51.75202178955078
202205,381190144.0,46.91873168945312,43.63217544555664,15.39666652679443,50.52910232543945
202206,380896384.0,44.05014038085938,43.60324096679688,15.10666656494141,42.99704742431641
202207,380042656.0,40.56470108032227,42.63055419921875,15.21000003814697,39.9721565246582
202208,378434400.0,35.93777465820312,41.82693099975586,15.243332862854,38.73759078979492
202209,378036416.0,35.67736053466797,41.24099349975586,15.32666683197021,40.0196418762207
202210,379444256.0,35.42094802856445,41.1655158996582,15.17333316802979,40.11533355712891
202211,380146720.0,37.51743698120117,41.2391242980957,15.09000015258789,41.2891845703125
202212,380841888.0,36.60177612304688,40.87006759643555,15.07666683197021,46.03056716918945
202301,382762944.0,38.34857177734375,40.50548553466797,15.17666625976562,46.96722793579102
202302,383129280.0,40.87900924682617,40.31324005126953,15.17333316802979,50.24591827392578
202303,383825664.0,39.71560287475586,39.0112190246582,15.13000011444092,48.77834701538086
202304,384987072.0,39.88361358642578,38.55445861816406,15.35000038146973,53.98203659057617
202305,387120224.0,41.57852935791016,38.97818756103516,15.67333316802979,54.2825813293457
202306,389184896.0,46.50537490844727,39.62503051757812,16.01666641235352,57.18693161010742
202307,390455936.0,47.54979705810547,40.30073165893555,15.73333358764648,56.410400390625
202308,393107488.0,46.70233917236328,41.66933059692383,15.47666645050049,55.04135513305664
202309,395142016.0,44.82061767578125,41.91084289550781,15.17811584472656,55.19035339355469
202310,395852928.0,44.47330093383789,42.56381988525391,15.20869731903076,55.04431915283203
202311,397478304.0,41.55731582641602,42.67929840087891,15.21261215209961,57.63131713867188
202312,398474976.0,41.55731582641602,43.14973068237305,15.211745262146,56.64041137695312
202401,399547680.0,40.36892700195312,43.06890869140625,15.19254207611084,56.17541885375977
202402,400544192.0,42.43745422363281,43.06890869140625,15.21219444274902,58.29080200195312
202403,401147712.0,42.12456893920898,43.75197219848633,15.29241466522217,59.94607162475586
202404,403833632.0,43.52606201171875,43.97952270507812,15.39183807373047,63.05361557006836
202405,406952384.0,43.61841201782227,43.57888031005859,15.7718448638916,62.36396026611328
202406,409779840.0,44.96176528930664,43.36606597900391,15.65912342071533,63.40814971923828
202407,413417632.0,47.00854873657227,43.84420776367188,15.57165431976318,60.03124618530273
202408,416291808.0,48.61111068725586,44.05607223510742,15.15614318847656,58.30710601806641
202409,420415456.0,49.09090805053711,44.43363952636719,15.10981845855713,58.00948715209961
202410,422387136.0,48.25757598876953,44.79027938842773,15.19184589385986,59.26498031616211
202411,423870688.0,48.5449333190918,45.802978515625,15.35952568054199,58.56556701660156
202412,425935456.0,49.15099334716797,46.33205795288086,15.65125179290771,60.64385604858398
202501,426353728.0,50.54929733276367,47.33536911010742,15.84636688232422,62.47478103637695
202502,428189472.0,49.04981994628906,47.45606994628906,16.03202438354492,64.43414306640625
202503,430284160.0,49.69298553466797,48.22416305541992,16.05594825744629,62.42427062988281
202504,430781120.0,49.82246017456055,48.90946960449219,16.71561813354492,63.29995346069336
